sector, process, subprocess, phase, activity
GOVERNMENT PROCESSES, STRATEGIC PLANNING, DEFINITION OF BUSINESS MODEL ,,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, ANALYSIS OF THE RESULTS ACHIEVED,
BUSINESS PROCESSES, ORDINARY CREDIT, PLANNING AND COMMERCIAL DEVELOPMENT, DEVELOPMENT RELATIONSHIPS WITH BANKS, INSTITUTIONS AND CATEGORY ASSOCIATIONS
BUSINESS PROCESSES, ORDINARY CREDIT, PLANNING AND COMMERCIAL DEVELOPMENT, DEVELOPMENT RELATIONSHIP WITH CONVENTIONAL INTERMEDIARIES
BUSINESS PROCESSES, ORDINARY CREDIT, PLANNING AND COMMERCIAL DEVELOPMENT, DEVELOPMENT OF RELATIONSHIPS WITH CONVENIENT DEBITORS
BUSINESS PROCESSES, ORDINARY CREDIT, PLANNING AND COMMERCIAL DEVELOPMENT, DEVELOPMENT OF RELATIONSHIPS WITH CORRESPONDENTS FOREIGN
BUSINESS PROCESSES, ORDINARY CREDIT, FEASIBILITY ANALYSIS AND RECRUITMENT OF CREDIT RISK, PRELIMINARY CORE AND DEBITOR EVALUATION
BUSINESS PROCESSES, ORDINARY CREDIT, FEASIBILITY ANALYSIS AND RECRUITMENT OF CREDIT RISK, PROPOSAL FOR PRE-TRAINING RESOLUTION
BUSINESS PROCESSES, ORDINARY CREDIT, FEASIBILITY ANALYSIS AND RECRUITMENT OF CREDIT RISK, NEW CUSTOMER INSTRUCTORY
BUSINESS PROCESSES, ORDINARY CREDIT, FEASIBILITY ANALYSIS AND RECRUITMENT OF CREDIT RISK, INSTRUCTORY NEW DEBITOR CEDED
BUSINESS PROCESSES, ORDINARY CREDIT, FEASIBILITY ANALYSIS AND RECRUITMENT OF CREDIT RISK, RESOLVES NEW CUSTOMER
BUSINESS PROCESSES, ORDINARY CREDIT, FEASIBILITY ANALYSIS AND RECRUITMENT OF CREDIT RISK, RESOLVES NEW DEBTOR DUE
BUSINESS PROCESSES, ORDINARY CREDIT, STIPULATION OF THE CONTRACT AND ACTIVATION OF THE RELATIONSHIP, STIPULATION OF THE CUSTOMER CONTRACT
BUSINESS PROCESSES, ORDINARY CREDIT, STIPULATION OF THE CONTRACT AND ACTIVATION OF THE RELATIONSHIP, ACTIVATION OF THE CUSTOMER CONTRACT
BUSINESS PROCESSES, ORDINARY CREDIT, STIPULATION OF THE CONTRACT AND ACTIVATION OF THE RELATIONSHIP, STIPULATION OF THE DEBTOR CONTRACT
BUSINESS PROCESSES, ORDINARY CREDIT, STIPULATION OF THE CONTRACT AND ACTIVATION OF THE RELATIONSHIP, ACTIVATION OF THE DEBTOR CONTRACT
BUSINESS PROCESSES, ORDINARY CREDIT, STIPULATION OF THE CONTRACT AND ACTIVATION OF THE RELATIONSHIP, RELEASE PLAFOND PROSOLUTE WARRANTY
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, PURCHASING OF SPECIFIC CREDITS AND MONTHLY RENEWAL OF PURCHASES UNDER A FRAMEWORK CONTRACT
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, ACQUISITION AND LOAN ASSIGNMENT
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, NOTIFICATION MANAGEMENT
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, RECOGNITION MANAGEMENT
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, EMISSION OF PAYMENT INSTRUMENTS
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, USE OF CREDIT (ADVANCED) - TRADITIONAL OPERATIONS
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, USE OF CREDIT (ADVANCED) - MATURITY AND ATD OPERATIONS
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, BANK TRANSFER AND CIRCULAR ALLOWANCES
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, COLLECTION MANAGEMENT
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, MANAGEMENT AND MONITORING OF CUSTOMERS
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, MANAGEMENT AND MONITORING OF DEBTORS
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, PROPOSAL AND RESOLUTION RENEWALS AND REVISIONS
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, COMPETENCES DEBT
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, MANAGEMENT OF SORVED POSITIONS
BUSINESS PROCESSES, ORDINARY CREDIT, RELATIONSHIP MANAGEMENT, REPORTING CLOSURE
BUSINESS PROCESSES, ORDINARY CREDIT, LEGAL MANAGEMENT, MANAGEMENT OF DISPUTING POSITIONS
BUSINESS PROCESSES, ORDINARY CREDIT, LEGAL MANAGEMENT, ACTIVITY OF THE LEGAL SERVICE
BUSINESS PROCESSES, DISTRESSED CREDITS, NPL CREDITS ACQUISITION, COMMERCIAL CONTACT
BUSINESS PROCESSES, DISTRESSED CREDIT, NPL CREDITS ACQUISITION, INSTRUCTORY
BUSINESS PROCESSES, DISTRESSED CREDIT, NPL CREDITS ACQUISITION, RESOLUTION
BUSINESS PROCESSES, DISTRESSED CREDIT, NPL CREDITS ACQUISITION, PERFECTION
BUSINESS PROCESSES, DISTRESSED CREDIT, STARTING PROCESSING, MANAGING THE DOCUMENTATION OF OBLIGATED SUBJECTS
BUSINESS PROCESSES, DISTRESSED CREDIT, START PROCESSING, SENDING NOTIFYING LETTERS TO OBLIGED SUBJECTS
BUSINESS PROCESSES, DISTRESSED CREDIT, STARTING OF PROCESSING, CLASSIFICATION OF EXPLANATIONS npl AND SIGNALS IN CR
BUSINESS PROCESSES, DISTRESSED CREDIT, START PROCESSING, MONITORING AND CLASSIFICATION OF CONTINUOUS EXHIBITIONS
BUSINESS PROCESSES, DISTRESSED CREDIT, MAXIMUM CREDIT MANAGEMENT, CONTACTS MANAGEMENT WITH MANDATORY SUBJECTS (CALL CENTER)
BUSINESS PROCESSES, DISTRESSED CREDIT, MASSIVE CREDIT MANAGEMENT, ASSIGNMENT OF POSITIONS TO THE MASSIVE MANAGEMENT
BUSINESS PROCESSES, DISTRESSED CREDIT, MASSIVE CREDIT MANAGEMENT, MASSIVE WORKING OF DEBT POSITIONS
BUSINESS PROCESSES, DISTRESSED CREDIT, MAXIMUM CREDIT MANAGEMENT, BALANCE SHEET ON DEBT POSITIONS IN MANAGEMENT
BUSINESS PROCESSES, DISTRESSED CREDIT, CREDIT ANALYTICAL MANAGEMENT, ANALYTICAL MANAGEMENT POSITIONS ASSIGNMENT
BUSINESS PROCESSES, DISTRESSED CREDIT, CREDIT ANALYTICAL MANAGEMENT, ANALYTICAL WORKING OF CHIRRISON OR HYPOTHESIS CREDITS
BUSINESS PROCESSES, DISTRESSED CREDIT, CREDIT ANALYTICAL MANAGEMENT, ANALYTICAL PROCESSING OF THE POSITIONS IN THE PROCEDURE PROCEDURE
BUSINESS PROCESSES, DISTRESSED CREDIT, TRANSVERSAL ACTIVITIES FOR NPL CREDIT MANAGEMENT, MANAGEMENT OF PAYMENT PROPOSALS
BUSINESS PROCESSES, DISTRESSED CREDIT, TRANSVERSAL ACTIVITIES FOR NPL CREDIT MANAGEMENT, CONSERVATION OF CUSTOMER PROFILE DATA
BUSINESS PROCESSES, DISTRESSED CREDIT, TRANSVERSAL ACTIVITIES FOR NPL CREDIT MANAGEMENT, NPL COLLECTION MANAGEMENT
BUSINESS PROCESSES, DISTRESSED CREDIT, TRANSVERSAL ACTIVITIES FOR THE MANAGEMENT OF NPL CREDITS, CLOSING FOR PERFORMANCE OF THE BENEFIT OF THE TERM
BUSINESS PROCESSES, DISTRESSED CREDIT, TRANSVERSAL ACTIVITIES FOR NPL CREDIT MANAGEMENT, COMPENSATION OF AGENTS AND RECOVERY COMPANIES
BUSINESS PROCESSES, DISTRESSED CREDIT, TRANSVERSAL ACTIVITIES FOR NPL CREDIT MANAGEMENT, COMPENSATION FOR LEGAL COMPENSATION
BUSINESS PROCESSES, DISTRESSED CREDIT, TRANSVERSAL ACTIVITIES FOR NPL CREDIT MANAGEMENT, NPL LOSS MANAGEMENT
BUSINESS PROCESSES, DISTRESSED CREDIT, TRANSVERSAL ACTIVITIES FOR NPL CREDIT MANAGEMENT, MONITORING OF CONTINUOUS POSITIONS
BUSINESS PROCESSES, ERARIARY CREDIT, RESEARCH AND ACQUISITION OF CONTACTS, CONTACT WITH THE BODIES OF THE PROCEDURES
BUSINESS PROCESSES, ERARIARY CREDIT, RESEARCH AND ACQUISITION OF CONTACTS, MONITORING OF BUSINESS ACTIVITY
BUSINESS PROCESSES, ERARIATIONAL CREDIT, INSTRUCTOR EVALUATION, ANALYSIS OF ERARIAL CREDIT REQUIREMENTS
BUSINESS PROCESSES, ERARIARY CREDIT, INSURANCE ASSESSMENT, LEGAL ADVICE (EVENTUAL)
BUSINESS PROCESSES, ERARIATIONAL CREDIT, INSTRUCTOR EVALUATION, ACTIVATION OF THE TREATY
BUSINESS PROCESSES, ERARIARY CREDIT, INSTRUCTOR EVALUATION, FIRST DUE DILIGENCE: DOCUMENTATION PROCESSING AND ANALYSIS
BUSINESS PROCESSES, ERARIARY CREDIT, INSTRUCTOR EVALUATION, POSITION EVALUATION AND PREPARATION OF THE PRICE PROPOSAL
BUSINESS PROCESSES, ERARIARY CREDIT, INSTRUCTOR EVALUATION, EVALUATION AND PRICING
BUSINESS PROCESSES, ERARIARY CREDIT, PURCHASE OF CREDITS, DEFINITION OF PURCHASE PROPOSAL
BUSINESS PROCESSES, ERARIARY CREDIT, PURCHASE OF CREDITS, CREDIT ASSIGNMENT: MANAGEMENT OF PRELIMINARY FORMALITIES
BUSINESS PROCESSES, ERARIARY CREDIT, PURCHASE OF CREDITS, CREDIT ASSIGNMENT: PERFECTION
BUSINESS PROCESSES, ERARIARY CREDIT, COLLECTION MANAGEMENT, CREATION AND MANAGEMENT OF THE DEALER
BUSINESS PROCESSES, ERARIARY CREDIT, COLLECTION MANAGEMENT, NOTIFICATION MANAGEMENT
BUSINESS PROCESSES, ERARIARY CREDIT, COLLECTION MANAGEMENT, FUTURE CREDIT MANAGEMENT FOR IRES TAXES
BUSINESS PROCESSES, ERARIARY CREDIT, COLLECTION MANAGEMENT, GUIDANCE PREPARATION
BUSINESS PROCESSES, ERARIARY CREDIT, COLLECTION MANAGEMENT, MANAGEMENT OF REFUNDS
BUSINESS PROCESSES, ERARIARY CREDIT, COLLECTION MANAGEMENT, CREATION OF THE CONTRACT AND MANAGEMENT OF NOTIFICATIONS
BUSINESS PROCESSES, ERARIARY CREDIT, COLLECTION MANAGEMENT, DETERMINATION OF THE PROPOSAL AND MANAGEMENT OF REFUNDS
BUSINESS PROCESSES, ERARIARY CREDIT, PRACTICES IN DISPUTES, MANAGEMENT OF LIABILITY
BUSINESS PROCESSES, ERARIARY CREDIT, PRACTICES IN DISPUTES, MANAGEMENT OF ACTIVE DISPUTES
BUSINESS PROCESSES, TREASUREMENT, EXECUTION OF OUTSIDE TRANSFER, EXECUTION OF NON-RELEVANT AMOUNTS IN THE EURO (THROUGH THE PROCEDURE OF THE GOOD COUNCIL)
BUSINESS PROCESSES, TREASUREMENT, EXECUTION OF OUTSIDE TRANSFERS, EXECUTION OF SWIFT TRANSFER IN EURO AND DIVIDED THROUGH WEB ABROAD
BUSINESS PROCESSES, TREASUREMENTS, EXECUTION OF OUTSIDE TRANSFERS, EXECUTION OF RELEVANT AMOUNTS BY BDI MANAGEMENT ACCOUNT
BUSINESS PROCESSES, TREASUREMENTS, MANAGEMENT OF GOODS IN ARRIVAL, RECEIVING RECEIVABLES IN EURO OF NON-RELEVANT AMOUNT
BUSINESS PROCESSES, TREASUREMENTS, MANAGEMENT OF BANK TRANSFER ON ARRIVAL, RECEIVING BANK TRANSFER IN EURO OR UNDERGROUND THROUGH WEB ABROAD
BUSINESS PROCESSES, TREASURY MANAGEMENT, TRANSFER MANAGEMENT IN ARRIVAL, BUILT-IN SWIFT IN-EURO OR IN-DIVIDED
BUSINESS PROCESSES, TREASUREMENTS, MANAGEMENT OF GOODS IN ARRIVAL, RECEIVING BONIFIES IN EURO OR DIVIDED THROUGH HOME INTENDED BANKING
BUSINESS PROCESSES, TREASURY, MANAGEMENT OF CREDIT AND CREDIT TITLES, EMISSION REQUESTS FOR CHECKS ACCOUNT
BUSINESS PROCESSES, TREASUREMENT, MANAGEMENT OF CREDIT AND CREDIT TITLES, EMISSION REQUESTS FOR CHECK OF THE ADMINISTRATION SERVICE
BUSINESS PROCESSES, TREASURY MANAGEMENT, CREDIT AND RIBA SECURITIES, PAYABLE ASSIGNMENTS FOR COMPANY COUNTERPARATES ACCOUNT
BUSINESS PROCESSES, TREASUREMENT, MANAGEMENT OF CREDIT AND RIBA SECURITIES, COLLECTION OF CHANGES
BUSINESS PROCESSES, TREASURY, CREDIT AND RIBA SECURITIES, RECEIVED ELECTRONIC BANKING RECEIVABLES
BUSINESS PROCESSES, TREASUREMENT, MANAGEMENT OF COMPANY TREASURY, EURO COMPOSITION ON OPERATING ACCOUNT
BUSINESS PROCESSES, TREASUREMENT, MANAGEMENT OF COMPANY TREASURY, JOURNAL IN DIVISA AT GISP, WELLS FARGO, CCB
BUSINESS PROCESSES, TREASUREMENT, MANAGEMENT OF COMPANY TREASURY, SALE IN DIVISA
BUSINESS PROCESSES, TREASUREMENT, MANAGEMENT OF COMPANY TREASURY, IGNITIONS DEPOSITS AND - MID ACTIVITIES / PASSIVERS IN EURO
BUSINESS PROCESSES, TREASUREMENT, MANAGEMENT OF COMPANY TREASURY, EXTINCTION OF DEPOSITS AND - MID ACTIVITIES / PASSIVERS IN EURO
BUSINESS PROCESSES, TREASUREMENT, COMPANY TREASURY MANAGEMENT, IGNITION ACTIVE / PASSIVE OUT OF AND - MID
BUSINESS PROCESSES, TREASUREMENT, MANAGEMENT OF COMPANY TREASURY, EXTINCTION DEPOSITS OF ACTIVE / PASSIVE OUTSIDE AND - MID
BUSINESS PROCESSES, TREASUREMENT, COMPANY TREASURY MANAGEMENT, SWAP CURRENCY MANAGEMENT: OPERATION ACTIVATION
BUSINESS PROCESSES, TREASUREMENT, COMPANY TREASURY MANAGEMENT, SWAP CURRENCY MANAGEMENT: EXTINCTION OPERATION
BUSINESS PROCESSES, TREASUREMENT, COMPANY TREASURY MANAGEMENT, PRODUCTION OF RENDIMAX MESSAGING
BUSINESS PROCESSES, TREASUREMENT, MANAGEMENT OF BUSINESS EXPERTISE, MONTHLY RETURNS
BUSINESS PROCESSES, FINANCE, PORTFOLIO OF FINANCIAL INSTRUMENTS OF PROPERTY, PURCHASE AND SALE OF FINANCIAL INSTRUMENTS
BUSINESS PROCESSES, FINANCE, PORTFOLIO OF FINANCIAL INSTRUMENTS OF PROPERTY, OPERATIONS OF REPURCHASE AGREEMENT
BUSINESS PROCESSES, FINANCE, MANAGEMENT OF PROPERTY FINANCIAL INSTRUMENT PORTFOLIO, OPERATIONS WITH ECB
BUSINESS PROCESSES, FINANCE, PORTFOLIO OF FINANCIAL INSTRUMENTS OF PROPERTY, OPERATIONS ON THE COLLATERALIZED MARKET
BUSINESS PROCESSES, FINANCE, MANAGEMENT OF THE PORTFOLIO OF FINANCIAL INSTRUMENTS OF PROPERTY, ROUTE BETWEEN THE DOSSIERS AT THE DEPOSITORS
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX MANAGEMENT, INFORMATION REQUEST / DOCUMENTATION
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX MANAGEMENT, OPENING RELATIONSHIPS
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX MANAGEMENT, RELATIONSHIP MANAGEMENT
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX MANAGEMENT, DOCUMENT ARCHIVE
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX MANAGEMENT, MONITORING OF THE ACTIVITIES CARRIED OUT BY THE FDS TO WHICH THE RENDIMAX CONTRACTS ARE EXTERNALIZED
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX PAPER MANAGEMENT, CONSULTATION OF THE PROFILE AND THE RISKS OF THE SERVICE
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX CARD MANAGEMENT, SERVICE ACTIVATION
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX CARD MANAGEMENT, EXTINCTION OF THE SERVICE
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX PAPER MANAGEMENT, MANAGEMENT OF FRAUDOLENT USE ALERT
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX PAPER MANAGEMENT, INSURANCE LEFT MANAGEMENT
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, RENDIMAX PAPER MANAGEMENT, DOCUMENT ARCHIVING
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CONTOMAX MANAGEMENT, REQUEST FOR INFORMATION / DOCUMENTATION AND ANTI-FRAUD VERIFICATIONS
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CONTOMAX MANAGEMENT, OPENING RELATIONSHIPS
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CONTOMAX MANAGEMENT, RELATIONSHIP MANAGEMENT
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CONTOMAX MANAGEMENT, CHANGE OF ECONOMIC CONDITIONS
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CONTOMAX MANAGEMENT, DOCUMENT ARCHIVE
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CONTOMAX MANAGEMENT, TRANSPARENCY MANAGEMENT
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CONTOMAX MANAGEMENT, WAREHOUSE MANAGEMENT (TOKENS AND CARDS)
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CURRENT ACCOUNT, CURRENT ACCOUNT REPORTING
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CURRENT ACCOUNT MANAGEMENT, CURRENT ACCOUNT BLOCKS
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CURRENT ACCOUNT MANAGEMENT, CURRENT ACCOUNT EXTINCTION
BUSINESS PROCESSES, TYPICAL BANKING SERVICES, CURRENT ACCOUNT MANAGEMENT, CHANGE OF ECONOMIC CONDITIONS
SUPPORTING PROCESSES, ADMINISTRATION, ADMINISTRATIVE ADMINISTRATION MANAGEMENT - ACCOUNTING, DEFINITION OF THE ACCOUNTING PLAN AND THE ACCOUNTING SCHEMES
SUPPORTING PROCESSES, ADMINISTRATION, ADMINISTRATIVE ADMISSION MANAGEMENT - ACCOUNTING, ACCOUNTING DATA COLLECTION AND REGISTRATION
SUPPORTING PROCESSES, ADMINISTRATION, ADMINISTRATIVE ADMINISTRATION MANAGEMENT - ACCOUNTING, SQUARES AND ADJUSTMENTS
SUPPORTING PROCESSES, ADMINISTRATION, FINANCIAL REPORTING, CLOSING OF BUDGET CYCLES
SUPPORTING PROCESSES, ADMINISTRATION, FINANCIAL REPORTING, ANNUAL FINANCIAL REPORT
SUPPORTING PROCEDURES, ADMINISTRATION, FINANCIAL REPORTING, CONSOLIDATED HALF-YEAR FINANCIAL REPORT
SUPPORTING PROCEDES, ADMINISTRATION, FINANCIAL REPORTING, CONSOLIDATED INTERMEDIATE MANAGEMENT REPORT
SUPPORTING PROCESSES, ADMINISTRATION, MANAGEMENT OF TAX ADJUSTMENTS, IDENTIFICATION OF TAX ADMISSIONS
SUPPORTING PROCESSES, ADMINISTRATION, MANAGEMENT OF TAXED FACILITIES, ABSOLUTION OF TAX ADMISSIONS
SUPPORT PROCESSES, ADMINISTRATION, PASSIVE CYCLE MANAGEMENT, COLLECTION PURCHASE REQUEST
SUPPORT PROCESSES, ADMINISTRATION, PASSIVE CYCLE MANAGEMENT, INSTRUCTORY
SUPPORT PROCESSES, ADMINISTRATION, PASSIVE CYCLE MANAGEMENT, TREATMENT
SUPPORT PROCESSES, ADMINISTRATION, PASSIVE CYCLE MANAGEMENT, RESOLUTION AND IMPROVEMENT
SUPPORT PROCESSES, ADMINISTRATION, PASSIVE CYCLE MANAGEMENT, RECEIPT
SUPPORT PROCESSES, ADMINISTRATION, PASSIVE CYCLE MANAGEMENT, PAYMENT
SUPPORT PROCESSES, HUMAN RESOURCES, STRATEGIC PLAN RR.UU, ESTIMATION OF NEEDS AND EVALUATION OF NEEDS
SUPPORT PROCESSES, HUMAN RESOURCES, STRATEGIC PLAN RR.UU, RECRUITMENT RESOLUTION
SUPPORT PROCESSES, HUMAN RESOURCES, STRATEGIC PLAN RR.UU, EXTRAORDINARY REQUESTS FOR ORGANIC INCREASE
SUPPORT PROCESSES, HUMAN RESOURCES, STRATEGIC PLAN RR.UU, EXTRAORDINARY REQUESTS FOR HOLIDAY PLACES
SUPPORT PROCESSES, HUMAN RESOURCES, SELECTION, RECRUITMENT
SUPPORT PROCESSES, HUMAN RESOURCES, SELECTION, EVALUATION
SUPPORT PROCESSES, HUMAN RESOURCES, RECRUITMENT, COMMUNICATION OF THE RECRUITING PROPOSAL
SUPPORT PROCESSES, HUMAN RESOURCES, INSERTION,
SUPPORT PROCESSES, HUMAN RESOURCES, PERSONAL ASSESSMENT, SELF-ASSESSMENT
SUPPORT PROCESSES, HUMAN RESOURCES, PERSONAL ASSESSMENT, ETHERVALUATION
SUPPORT PROCESSES, HUMAN RESOURCES, PERSONAL ASSESSMENT, QUALITY CONTROL
SUPPORTING PROCESSES, HUMAN RESOURCES, PERSONAL ASSESSMENT, RESPONSIBILITY INTERVIEW
SUPPORTING PROCESSES, HUMAN RESOURCES, PERSONAL EVALUATION, ENTRY OF THE ASSESSMENT NOTES
SUPPORTING PROCESSES, HUMAN RESOURCES, TRAINING AND PROFESSIONAL DEVELOPMENT, DEFINITION OF THE ANNUAL TRAINING PLAN
SUPPORTING PROCESSES, HUMAN RESOURCES, TRAINING AND PROFESSIONAL DEVELOPMENT, ASSESSMENT OF THE DIDACTIC PROGRAM OF EVERY COURSE
SUPPORTING PROCESSES, HUMAN RESOURCES, TRAINING AND PROFESSIONAL DEVELOPMENT, EXTERNAL COURSES AND SEMINARS APPROVAL
SUPPORT PROCESSES, HUMAN RESOURCES, RETRIBUTIVE POLICIES,
SUPPORT PROCESSES, HUMAN RESOURCES, TERMINATION OF THE RELATIONSHIP,
SUPPORT PROCESSES, HUMAN RESOURCES, PERSONNEL ADMINISTRATION,
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEFINITION OF ICT STRATEGY PLAN AND TECHNOLOGICAL ADDRESSES, UNDERSTANDING BUSINESS OBJECTIVES
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEFINITION OF ICT STRATEGIC PLAN AND TECHNOLOGICAL ADDRESSES, CURRENT ANALYSIS PORTFOLIO ICT PROJECTS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEFINITION OF ICT STRATEGIC PLAN AND TECHNOLOGICAL ADDRESSES, EVALUATION OF DEVELOPMENTS ON APPLICATION ARCHITECTURE AS IDI, DEFINITION OF ARCHITECTURAL DRAWING TO BE AND EVIDENCE OF THE RELATIVE GAPS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEFINITION OF ICT STRATEGIC PLAN AND TECHNOLOGICAL ADDRESSES, ANALYSIS OF THE AS IS ORGANIZATIONAL MODEL OF THE ICT FUNCTION, DEFINITION OF THE TO - BE ORGANIZATIONAL DRAWING AND EVIDENCE OF THE RELATIVE GAPS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEFINITION OF ICT STRATEGY PLAN AND TECHNOLOGICAL ADDRESSES, EVALUATION OF THE SOURCING MODEL
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEFINITION OF ICT STRATEGIC PLAN AND TECHNOLOGICAL ADDRESSES, ANALYSIS OF THE RESULTS OF THE EVALUATION OF THE EXPECTED COMPUTER RISK (RISK APPETITE)
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEFINITION OF ICT STRATEGIC PLAN AND TECHNOLOGICAL ADDRESSES, DRAFTING OF THE FIRST DRAFT OF ICT STRATEGIC PLAN
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEFINITION OF ICT STRATEGIC PLAN AND TECHNOLOGICAL ADDRESSES, IDENTIFICATION AND PLANNING OF THE SPECIFIC PROJECT FINALIZED TO THE REALIZATION OF THE STRATEGIC OBJECTIVES ICT
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEFINITION OF ICT STRATEGIC PLAN AND TECHNOLOGICAL ADDRESSES, IDENTIFICATION OF POSSIBLE SERVICE PROVIDERS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEFINITION OF ICT STRATEGY PLAN AND TECHNOLOGICAL ADDRESSES, MONITORING OF ICT PROJECTS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, ANALYSIS OF THE COMPUTER RISKS, DEFINITION OF THE CONTEXT
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, ANALYSIS OF THE COMPUTER RISKS, IDENTIFICATION OF RISKS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, ANALYSIS OF COMPUTER RISKS, RISK ANALYSIS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, ANALYSIS OF COMPUTER RISKS, EVALUATION OF RISKS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, ANALYSIS OF INFORMATION RISK, TREATMENT OF RISK
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MONITORING AND MEASUREMENT OF THE PERFORMANCE OF THE ICT AND ITS KPI, IDENTIFICATION OF THE SURROUNDING AREAS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MONITORING AND MEASUREMENT OF THE PERFORMANCE OF THE ICT AND ITS KPIs, DEFINITION OF THE KPI RELATED TO THE DETECTED ITEMS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MONITORING AND MEASUREMENT OF THE PERFORMANCE OF THE ICT AND ITS KPIs, PREPARATION OF THE RESOURCES NECESSARY FOR THE ELECTORATION OF KPIs
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MONITORING AND MEASUREMENT OF ICT PERFORMANCES AND ITS KPI, ICT COSTS MEASUREMENT
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MONITORING AND MEASUREMENT OF THE PERFORMANCE OF THE ICT AND ITS KPI, MEASUREMENT OF PERFORMANCE
